redundancy,error_total,k,copies,trials,mean_percent_recovered_ecc,std_percent_recovered_ecc
0.15,0.02,30,60,10,100.0,0.0
0.15,0.04,30,60,10,99.49324324324324,1.5202702702702695
0.15,0.06,30,60,10,89.88234255522987,11.597616375314209
0.15,0.08,30,60,10,62.456317614398344,29.40674989000082
0.15,0.1,30,60,10,47.9832927275941,39.57050544490846
